,Good,Poor,Poor_Good,Poor_Weak,Weak,Weak_Good
0,1555.1250486251258,11978238.53454281,11978238.53454281,11978238.53454281,109953.03237795536,109953.03237795536
1,1555.1250486251258,2853662.9592050198,1555.1250486251258,109953.03237795536,109953.03237795536,1555.1250486251258
2,1555.1250486251258,771722.3054091004,1555.1250486251258,109953.03237795536,109953.03237795536,1555.1250486251258
3,1555.1250486251258,771722.3054091004,1555.1250486251258,109953.03237795536,109953.03237795536,1555.1250486251258
4,1555.1250486251258,771722.3054091004,1555.1250486251258,109953.03237795536,109953.03237795536,1555.1250486251258
5,1555.1250486251258,771722.3054091004,1555.1250486251258,71599.01756270294,71599.01756270294,1555.1250486251258
6,1555.1250486251258,771722.3054091004,1555.1250486251258,50803.46098218048,50803.46098218048,1555.1250486251258
7,1555.1250486251258,771722.3054091004,1555.1250486251258,50803.46098218048,50803.46098218048,1555.1250486251258
8,405.7917295619536,771722.3054091004,405.7917295619536,50803.46098218048,50803.46098218048,1555.1250486251258
9,405.7917295619536,771722.3054091004,405.7917295619536,50799.05374056002,47948.31656611065,1554.6650665874872
10,405.7917295619536,771722.3054091004,405.7917295619536,50799.05374056002,47874.95667051109,1554.6650665874872
11,369.4481464186968,771677.3490756896,369.4481464186968,50165.22146173465,47814.62467238089,1554.6650665874872
12,368.3355768399331,771447.7625058073,368.3355768399331,49929.93254863487,46800.18724867774,768.8797072730978
13,358.8753872412468,768472.9305892016,358.8753872412468,49427.23341590645,46236.27110367567,733.1587843851281
14,358.8753872412468,764253.1477684833,358.8753872412468,48946.97675001205,45221.2114785942,529.2828182748699
15,352.94444428694675,757600.9736832671,352.94444428694675,48673.17904992312,44389.4972697744,428.5004701217146
16,352.105274053957,681759.4025900832,352.105274053957,48448.5346807836,42011.91145670941,379.45179020201215
17,352.105274053957,676858.2841206618,352.105274053957,48421.11463161312,39051.36593833891,365.7595991314346
18,344.51830036133885,613848.1849452801,344.51830036133885,48421.11463161312,36500.98265793844,365.7595991314346
19,320.1776258672654,566248.1714962765,320.1776258672654,48275.93239806164,34526.48620842028,355.3094503994862
20,291.85233792849823,534186.8440931516,291.85233792849823,48005.80706021433,33490.756784572055,324.85639498899565
21,263.8750262160219,521275.4627031933,263.8750262160219,47819.55956186544,33203.43930972414,305.26659326696546
22,257.35346584879846,516038.7931766624,257.35346584879846,47651.03624259655,33203.43930972414,299.7772542893302
23,257.35346584879846,499887.4251262136,257.35346584879846,47523.863960487855,32619.297655657523,299.7772542893302
24,255.46438079144943,454589.516971794,255.46438079144943,47509.82068241793,31808.69804893812,299.7772542893302
25,255.46438079144943,422790.9103181472,255.46438079144943,47509.82068241793,31611.16619869331,291.855737465116
26,253.63831775713825,421980.38038434007,253.63831775713825,47509.82068241793,31451.531444730248,274.08143486986546
27,252.1918420749365,409977.3924204332,252.1918420749365,47509.82068241793,31427.36250485384,257.85955417601224
28,252.02518662379123,394081.0041025213,252.02518662379123,47509.82068241793,31133.6446324346,237.56149237088508
29,245.5324992888362,393022.7031251093,245.5324992888362,46802.06968394031,30821.357153422912,236.8261599066306
30,238.38883647300463,381260.9335341806,238.38883647300463,46802.06968394031,30821.357153422912,236.8261599066306
31,236.82441940537265,381260.9335341806,236.82441940537265,46446.627774976645,30633.92713979837,227.12079441342405
32,230.5355144326809,321783.6996446838,230.5355144326809,45986.56375422408,30590.95087665232,227.12079441342405
33,230.5355144326809,273322.5453090057,230.5355144326809,45677.40198605348,30589.19868478766,214.3666145042656
34,219.4084098263411,261147.9579773668,219.4084098263411,45677.40198605348,30303.85910402005,212.6874978782917
35,217.8090238992486,259074.7789535481,217.8090238992486,45554.53099128071,29475.321578508643,211.7501846349473
36,213.0852301287997,243410.9442266924,213.0852301287997,45554.53099128071,29475.321578508643,211.7501846349473
37,203.2178348891743,191259.397460679,203.2178348891743,45554.53099128071,28889.391646095854,208.4346589678954
38,197.26019583790296,188894.44997095695,197.26019583790296,45554.53099128071,19778.31862837416,197.7991060261094
39,197.26019583790296,187061.66476521333,197.26019583790296,45554.53099128071,16588.925925130974,197.7991060261094
40,183.18096939503465,156837.9683863416,183.18096939503465,45376.33430113872,13780.505046707194,196.1646268479124
41,180.27472277131875,150340.54513644244,180.27472277131875,45376.33430113872,12167.897900066086,196.1646268479124
42,180.15679764484773,148155.06655915323,180.15679764484773,45067.57516554555,11060.964678883547,185.8768351950598
43,179.51767612990625,129725.00357353577,179.51767612990625,44865.9708055404,10018.229507798083,184.31494039997347
44,179.51767612990625,128228.08896526032,179.51767612990625,44683.83787042666,9565.247432251424,182.46321105367977
45,179.5043396864987,124872.43678387272,179.5043396864987,44665.27282358163,9493.086822027244,181.6337383075036
46,178.04451431293785,124696.03321358086,178.04451431293785,36773.83063478703,9469.869667938412,181.6337383075036
47,173.6021508483958,124520.17124778336,173.6021508483958,33709.02050959135,9388.062832901154,180.78834492839292
48,172.99308467049815,123831.3769315373,172.99308467049815,31479.420699535134,9123.400000000003,178.2622668041072
49,171.10574487576747,122852.76419836686,171.10574487576747,29799.1913438839,9123.400000000003,178.10536591687924
