,Good,Poor,Poor_Good,Poor_Weak,Weak,Weak_Good
0,3239.941730531973,10472600.581470786,10472600.581470786,10472600.581470786,76945.2529979731,76945.2529979731
1,3239.941730531973,3685501.229190183,3239.941730531973,76945.2529979731,76945.2529979731,3239.941730531973
2,3239.941730531973,1117712.2992655546,3239.941730531973,76945.2529979731,76945.2529979731,3239.941730531973
3,3239.941730531973,1117712.2992655546,3239.941730531973,76945.2529979731,76945.2529979731,3239.941730531973
4,3239.941730531973,1117712.2992655546,3239.941730531973,76945.2529979731,76945.2529979731,3239.941730531973
5,3239.941730531973,1117712.2992655546,3239.941730531973,76945.2529979731,76945.2529979731,3239.941730531973
6,1915.4058162378367,1117712.2992655546,1915.4058162378367,76945.2529979731,50803.46098218048,3239.941730531973
7,1915.4058162378367,987407.6957229566,1915.4058162378367,58816.56440650457,50803.46098218048,685.3940622183488
8,1915.2744642730368,879322.968920393,1915.2744642730368,58816.56440650457,50803.46098218048,685.3940622183488
9,1912.440443530204,779500.2246214472,1912.440443530204,58816.56440650457,50803.46098218048,685.3940622183488
10,1787.4828600558508,775912.8538316046,1787.4828600558508,53201.023935844605,50681.34457195481,685.3940622183488
11,1695.2839310084064,739317.4705217049,1695.2839310084064,49508.93630216382,50681.34457195481,685.3940622183488
12,1638.1562233146692,676055.6217234184,1638.1562233146692,49508.93630216382,50681.34457195481,685.3940622183488
13,1606.5170368881754,676055.6217234184,1606.5170368881754,48555.61312994565,46315.22897682032,685.3940622183488
14,1599.4485971373667,502723.9310459434,1599.4485971373667,47755.40111181455,46315.22897682032,685.3940622183488
15,1599.4485971373667,376736.5454415105,1599.4485971373667,46204.78709896079,46315.22897682032,685.3940622183488
16,1594.399544097961,305235.74522669334,1594.399544097961,44488.09807566507,46315.22897682032,669.3195146208989
17,1545.3213173812976,253861.00917495776,1545.3213173812976,43057.51284595085,45150.42287801786,669.3195146208989
18,1439.6468787827823,227025.43538261057,1439.6468787827823,41519.96301555583,45114.13484655519,614.581614579442
19,1335.8625892887364,225976.72914280655,1335.8625892887364,41486.81775444626,44974.961829925945,614.581614579442
20,1249.3696986599523,223859.5303719412,1249.3696986599523,41022.53628412414,44476.84370578676,575.4543776779026
21,1187.2678169829255,223859.5303719412,1187.2678169829255,38495.92310576831,44194.23151117326,575.4543776779026
22,1152.4485700069713,205391.0079686998,1152.4485700069713,37330.91189869711,37221.64468918747,575.4543776779026
23,1144.5997642531954,138598.1184670978,1144.5997642531954,34679.584866212055,34635.116898955835,561.9392395996458
24,1144.5997642531954,129221.28104091765,1144.5997642531954,33853.037812870185,32716.02757349372,561.9392395996458
25,1087.7171203723062,111323.75176731202,1087.7171203723062,33853.037812870185,32716.02757349372,561.9392395996458
26,1045.9315124266325,110163.59564872038,1045.9315124266325,32236.610003052017,30932.462093962506,561.9392395996458
27,1010.6606267211276,89667.95067053637,1010.6606267211276,31704.469630658343,30665.945387180385,561.9392395996458
28,978.0858436144003,77236.94582507462,978.0858436144003,29870.13910260323,30599.677599171744,561.9392395996458
29,950.37122959285,75363.84556709252,950.37122959285,23959.005062400203,29312.37920865909,561.9392395996458
30,934.0906147224435,74175.87525972827,934.0906147224435,23959.005062400203,27039.301928440065,539.0082644909097
31,934.0906147224435,73595.60592183584,934.0906147224435,23320.360660478746,25563.270446842813,539.0082644909097
32,928.4080134194468,72861.8988486016,928.4080134194468,22842.08701478588,25549.581518157,539.0082644909097
33,927.904336411406,68769.15840037621,927.904336411406,22714.93539653141,25520.40205449478,539.0082644909097
34,918.6104483721264,66505.63347344444,918.6104483721264,22123.573080050854,25392.560297200107,535.8192657831452
35,897.650777526173,63767.23017684587,897.650777526173,22103.269385989213,25392.560297200107,535.1992081777494
36,868.8761807458112,63123.31580242072,868.8761807458112,20979.38036000965,24082.33820680982,533.1978334876619
37,858.5894438658611,54197.85668231521,858.5894438658611,20096.073166483915,22979.557304580718,531.0336905149297
38,858.5894438658611,44905.88328195037,858.5894438658611,20081.30490419644,21800.170667425347,529.7439739342628
39,852.3969613663206,44905.88328195037,852.3969613663206,20029.583830397045,20314.15331193639,528.0729779733922
40,828.1925645539355,40150.00423288287,828.1925645539355,20029.583830397045,18215.99873462557,525.8049954170632
41,814.7832906092339,38556.47522302496,814.7832906092339,19842.363004017065,17852.708128900293,523.7684648866825
42,806.9943669194455,38379.07755328782,806.9943669194455,18640.20245708608,17818.375206808745,521.8759270326169
43,806.9943669194455,37487.93342911606,806.9943669194455,18640.20245708608,17228.81588384396,520.8953361170653
44,787.920883458799,36969.14702260772,787.920883458799,18132.83361196743,16206.501807791445,519.6392070549949
45,769.7402361433114,33947.84177819871,769.7402361433114,18087.367642417237,14993.340710535756,518.031701714715
46,768.709344166207,32300.21512087418,768.709344166207,18014.315455245614,14899.54943054458,518.031701714715
47,767.7258552527359,32300.21512087418,767.7258552527359,17933.170837308982,14424.529718215925,507.72992039358303
48,767.7258552527359,31297.11386681922,767.7258552527359,17883.267771144703,14303.63748339446,495.7800907748488
49,751.8644548330486,30996.0010683196,751.8644548330486,17738.020712929385,13506.486114066856,490.1268576410649
50,733.6296752529099,30718.08475690004,733.6296752529099,17738.020712929385,13007.801936506728,487.4387946086771
51,721.4734729552122,30394.825607330135,721.4734729552122,16924.08502623309,12536.166677877034,485.3580179418794
52,721.4734729552122,30394.825607330135,721.4734729552122,15544.870277744289,12498.832409180348,485.3580179418794
53,715.6516866116782,28010.497815689232,715.6516866116782,15544.870277744289,12486.72241028776,484.1466871308837
54,704.8544730475944,26311.245976646474,704.8544730475944,14613.156260178426,12461.379076955756,481.0839155052544
55,704.8544730475944,24706.137402128297,704.8544730475944,13120.73867219073,12439.101897952169,479.02531581093416
56,701.565293323525,24274.4903527346,701.565293323525,13059.68255624765,12421.369652772892,476.2077906025652
57,700.4190577303971,24274.4903527346,700.4190577303971,12833.231818170978,12358.82676899132,475.262427189985
58,692.3846396735883,23156.70355929233,692.3846396735883,11704.738207854098,12330.516718837538,473.9884468036184
59,664.8597709839349,22840.93539198618,664.8597709839349,11704.738207854098,12204.032403619778,473.4691093023816
60,655.2879865085463,22840.93539198618,655.2879865085463,10842.486902075536,11255.294558578846,468.7048160978827
61,654.3195877736183,21175.76367696395,654.3195877736183,8745.913715073848,10325.111236695928,467.1003351540017
62,653.515573572232,17443.417785077138,653.515573572232,8737.018246678143,9679.849216554618,467.1003351540017
63,652.0497597023292,17333.930556544714,652.0497597023292,8680.789042931105,9457.828629592424,463.2515390370471
64,644.2348461209887,16770.363443040795,644.2348461209887,8666.53197041784,9387.460001095944,454.3085492042235
65,582.9232532866382,11995.738726840968,582.9232532866382,8640.552430946595,9352.22577929179,419.4442780746166
66,551.3501140388477,11905.62093564808,551.3501140388477,8604.763331560536,9276.779968351851,354.34894192077275
67,533.124326194774,11905.62093564808,533.124326194774,8558.10621726386,9126.48666364185,329.30281523367546
68,527.1019014081367,11859.947204528971,527.1019014081367,8542.009516240896,8651.910055251048,327.211878741782
69,526.438520671382,11713.933287127596,526.438520671382,8509.239434328581,8153.286511814564,324.2439059290339
70,523.6408351772543,10843.282310927509,523.6408351772543,8408.706829653176,8153.286511814564,316.5888933237972
71,502.26888161094,9661.469921571692,502.26888161094,8314.851285097458,7886.400399571687,307.56177431301364
72,485.6839796573488,9055.8154400782,485.6839796573488,8246.683576711152,7136.954676227796,304.2765053198709
73,484.2550302158515,8906.135841802203,484.2550302158515,7977.931852597341,6976.327860230781,302.70784551799386
74,479.8375317192357,8450.554653001971,479.8375317192357,7810.074792059113,6627.434027584985,301.98461428505925
75,442.4046134014926,8131.096857067365,442.4046134014926,7801.226367593419,6196.755931299799,300.52487599666927
76,405.8551378044826,8131.096857067365,405.8551378044826,7790.756947056208,5604.5336903089865,297.8566399555111
77,379.28359180771,8118.491375377531,379.28359180771,7769.790525466868,5573.5973574597765,294.31792308792603
78,352.72044461134743,8104.206628494693,352.72044461134743,7694.910280906657,5542.366893869727,293.59266444516123
79,323.22373838788747,8071.490387977146,323.22373838788747,7584.696041412089,5519.072007637508,291.99077038735453
80,297.97294900742577,8028.359920064333,297.97294900742577,7460.684368747675,5491.368366446399,289.3616089028696
81,277.86407824122074,8007.434807685163,277.86407824122074,7445.197196662386,5368.248065477981,282.4263143675871
82,263.71789220787963,7980.11055974697,263.71789220787963,7430.877353239249,5272.574430505605,269.88485088985675
83,255.1133175621337,7933.077182090335,255.1133175621337,7424.56636207046,5272.574430505605,260.70958359169936
84,248.0612031435169,7852.200544886249,248.0612031435169,7424.56636207046,5171.538199527999,252.11017018975224
85,243.04080261298688,7773.629077257283,243.04080261298688,7398.915834553436,4890.845475585404,247.96595224126352
86,242.4214412804242,7657.216816359338,242.4214412804242,7329.165088143227,4536.258204155412,244.97095398442724
87,241.41487327568424,7532.167301405138,241.41487327568424,7319.755386683498,4536.258204155412,243.2271788084759
88,211.8614249346828,7492.142852482657,211.8614249346828,7212.268759945024,4494.539217874036,241.74825558046533
89,204.23904107204976,7487.617394476723,204.23904107204976,6726.649213632482,4329.539601540714,241.31368891889792
90,204.1393311510704,7475.125839484901,204.1393311510704,6462.758526562598,4329.539601540714,239.556278428892
91,199.84984033346652,7464.370849131403,199.84984033346652,6251.730307505563,4281.690053636209,238.13689033105143
92,199.33487874092816,7452.298391614223,199.33487874092816,6251.730307505563,4281.690053636209,235.97502716918632
93,195.96010214936848,7444.48483808975,195.96010214936848,6065.717011432657,4240.219094276177,233.5122506257766
94,195.9510813792505,7444.48483808975,195.9510813792505,5390.759481871532,4180.83978721385,230.31442087541117
95,190.3669059219857,7429.124446980821,190.3669059219857,5162.929883502012,4175.551372695779,228.67324604256308
96,179.52314575273817,7403.587140920975,179.52314575273817,5136.202641228735,4172.716628633993,226.56436974023467
97,178.01941192429797,7333.623772148154,178.01941192429797,5135.543184019645,4172.716628633993,225.86323871672596
98,172.80037723977816,6927.633297781797,172.80037723977816,5131.655646569958,4172.716628633993,224.8073106874228
99,171.15237354976227,6358.372332022374,171.15237354976227,5128.651802110523,4172.716628633993,223.51368608353152
100,161.46165475977128,6166.361735163684,161.46165475977128,5122.838335076345,4172.716628633993,221.02356146755056
101,142.14823228342132,6166.16614762997,142.14823228342132,5121.527050592583,4159.804098087469,218.18747299488675
102,134.66955858112107,6150.521384314207,134.66955858112107,5109.429757416277,4098.910478507686,214.1458008972922
103,134.66955858112107,6144.863868857152,134.66955858112107,5103.63746894109,4098.910478507686,211.79737907950496
104,129.84168012299926,6120.941450291783,129.84168012299926,5083.238818642961,4091.7567990956895,211.79737907950496
